Id;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence;Sequence
16932;1;-32;432;-3008;9144;15040;-217216;535104;868252;-6262496;3084192
16934;1;2;5;34;442;8638;229467;7862664;336468450;17579403622;1101880000000
16935;0;100;5260;107584;13346532;553472676;35085052464;1978080000000;112800000000000;6486940000000000;371233000000000000
16936;12;68;186;422;798;1316;2064;3048;4254;5802;7682
16938;1;0;0;-3;-12;-17;-102;-109;-872;-881;-8810
16940;1;1;1;2;4;1;2;2;3;4;10
16943;1;3;0;9;5;7;12;6;15;13;3
16945;6;7;11;15;17;21;23;25;31;35;57
16947;7;33;257;3473;73345;2542369;140090241;12503757969;1787240000000;411927000000000;152442000000000000
16948;1;3;4;9;40;32;27;316;672;384;81
16949;3;8;9;8;9;9;6;9;10;8;7
16952;0;2;7;20;54;143;376;986;2583;6764;17710
16954;1;2;3;4;5;6;7;8;9;10;11
16955;1;9;80;710;6300;55900;496000;4401000;39050000;346490000;3074400000
16957;1;1;2;6;24;78;230;675;2069;6404;19708
16958;1;5;51;515;5201;52525;530451;5357035;54100801;546365045;5517751251
16959;2;5;7;11;11;18;15;23;22;28;23
16961;1;5;12;23;40;67;112;191;336;611;1144
16962;0;0;0;1;0;0;0;1;1;2;0
16964;1;27;480;7130;96111;1221537;14941750;178032960;2082076821;24019528247;274281000000
16967;1;2;8;170;16512;6643782;11582386286;79450500000000;2334900000000000000;265166000000000000000000;128443000000000000000000000000
16970;0;2;125;11879;3833954;4623938410;20901200000000;362655000000000000;23827600000000000000000;0;0
16971;0;1;1;2;2;2;2;2;3;3;3
16972;27;54;108;216;432;864;1728;3456;6912;13824;27648
16977;1;3;15;159;3039;89439;3718239;206931039;14838252639;1331660000000;146182000000000
16984;19;134;153;287;440;1167;14444;30055;44499;74554;119053
16985;1;4;4;13;39;25;3;40;280;472;256
16986;1;1;4;37;667;21886;0;0;0;0;0
16988;1;3;4;6;9;10;13;16;19;21;24
16990;2047;8388607;137439000000;2199020000000;576461000000000000;147574000000000000000;9671410000000000000000000;158456000000000000000000000000;2535300000000000000000000000000;0;0
16993;1;4;21;220;5985;501942;143218999;145944000000;542150000000000;7398710000000000000;372135000000000000000000
16994;1;2;1;6;0;2;24;9;0;6;120
16995;0;0;5;6;9;35;59;112;283;706;1478
16996;1;0;0;0;0;0;0;0;0;-1;0
16999;1;2;6;18;63;220;835;3154;12570;49819;205075
17000;1;2;6;2;30;6;42;6;30;10;66
17001;3;1;6;2;7;12;14;4;13;5;15
17005;1;2;11;70;487;3592;27600;218566;1771367;14621410;122495659
17006;1;1;1;3;1;7;1;7;4;11;1
17008;1;1;1;-4;-19;12;517;1472;-18023;-159792;587529
17010;1;1;1;1;1;1;1;2;3;4;4
17014;2;3;11;5381;75063700000000;0;0;0;0;0;0
17017;1;0;1;2;3;8;17;38;89;206;485
17019;1;2;0;5;3;7;8;6;4;6;3
17021;1;0;1;1;0;0;1;1;1;1;1
17024;1;2;15;220;5025;159606;6593041;338977416;21032339985;1539280000000;130569000000000
17026;1;1;2;4;8;4;7;6;0;7;4
17027;11;29;83;127;6563;24391;59051;161053;357913;571789;1442899
17031;4;9;10;22;24;25;27;34;42;46;55
17033;1;2;2;4;3;5;4;8;5;8;6
17034;13;17;29;47;61;73;79;83;103;107;113
17035;0;5;25;150;875;5125;30000;175625;1028125;6018750;35234375
17038;2;8;10;14;16;20;28;32;34;40;44
17039;61;257;1237;1433;1531;2609;2707;2903;3001;3491;4079
17040;3;160;21504;3867840;785255680;169749000000;38094700000000;8761530000000000;2050020000000000000;485761000000000000000;116218000000000000000000
17042;0;0;0;0;1;1;2;1;1;2;3
17044;393;8135;60691;273127;908755;2473325;5832765;12354469;24072133;43874139;75715487
17045;1;2;4;8;4;8;6;12;4;8;6
17048;0;144;1335;15420;128889;2220730;19892241;385142640;3707833063;76288704212;767769000000
17050;1;1;1;0;0;0;1;1;1;0;0
17051;0;1;2;3;4;5;6;7;8;9;10
17052;2;13;19;31;83;101;103;137;157;191;223
17053;2;3;5;7;11;13;17;19;23;29;31
17056;1;3;27;729;52649;9058475;3383769523;2520510000000;0;0;0
17059;420876;43208766;4332087666;433321000000;43333200000000;4333330000000000;433333000000000000;43333300000000000000;4333330000000000000000;433333000000000000000000;0
17060;6;32;3;34;35;1;7;11;27;28;8
17063;1;3;9;11;13;15;129;131;133;137;139
17064;5557;15551;15559;45553;45557;55501;55511;55529;55541;55547;55579
17070;5;17;31;67;83;127;191;211;277;331;353
17071;4;7;12;10;17;24;13;22;31;40;16
17072;3253177;3253219;3253223;3253231;3253241;20189111;20189119;20189123;20189137;20189167;22122937
17074;1;3;6;12;24;48;96;192;384;768;1536
17075;24;66;84;114;144;150;156;180;210;240;294
17076;19;68;117;133;166;215;264;313;362;411;460
17077;1;2;2;3;4;3;4;4;6;5;8
17078;1;4;504;5765760;11779300000000;7077070000000000000000;1858420000000000000000000000000000;296453000000000000000000000000000000000000000000;38078700000000000000000000000000000000000000000000000000000000000;0;0
17079;1;-1;2;-1;0;-2;3;0;0;-2;1
17090;1;25;49;55;85;91;115;121;133;145;169
17091;1;2;5;19;34;61;114;175;1094;1695;3390
17092;7;79;431;130783;523927;2251800000000000;9007200000000000;2417850000000000000000000;9671410000000000000000000;664614000000000000000000000000000000;0
17094;1;2;3;7;14;30;33;66;177;227;686
17097;1;2;3;7;5;10;7;20;14;18;11
17099;1;1;1;2;1;1;4;1;1;2;4
17100;10;39;59;88;108;137;157;186;206;235;255
17102;0;1;1;5;12;38;107;316;915;2671;7771
17104;13;22;37;62;104;174;291;486;812;1356;2265
17105;0;1;2;6;8;10;36;14;64;72;180
17106;23;29;61;71;89;91;101;133;149;169;181
17108;1;9;0;2;1;6;0;5;8;3;1
17109;0;1;5;11;35;36;126;130;264;260;715
17112;1;1;0;-1;-1;0;1;1;0;-1;-1
17113;1;1;3;3;5;11;21;39;73;129;229
17116;3;2;4;13;10;121;7;1093;82;757;61
17118;6;4;4;0;9;2;5;3;0;1;9
17119;1;-33;-244;32;-3126;8052;-16808;0;243;103158;-161052
17120;1;70;209;378;1653;2697;4806;13744;66919;67873;75666
17122;15;33;35;51;65;69;77;85;87;91;95
17124;1;2;2;6;6;6;6;192660;437286240;37202202450;148684000000
17125;1;-2;1;1;-2;1;-4;5;1;1;-2
17126;1;3;1;5;3;25;11;5;13;13;9
17128;14;196;546;2646;10374;28224;95900;263228;707756;1914436;4765030
17130;6;10;14;17;21;25;29;32;36;40;44
17136;0;0;0;0;0;0;0;0;0;0;0
17137;1;1;1;1;2;1;1;3;3;1;1
17139;1;1;-3;-2;1;1;6;-6;-7;7;-3
17140;2;9;6;0;6;7;2;8;1;1;2
17143;1;28;728;18900;490672;12738572;330712200;8585778628;222900000000;5786800000000;150234000000000
17144;4;7;9;1;1;9;7;4;9;4;7
17145;1;1;0;1;0;1;0;1;0;1;0
17147;23;23223323;32323223;2222323333;2223223333;2232223333;2232322333;2232332233;2323222333;2332322233;2333222323
17148;3;6;8;10;11;12;16;17;18;30;32
17150;15643;1239911;3712769;14255963;101001041;504418823;595289339;738356401;885318983;1034893493;1120883653
17151;16;33;82;2657;5396;13449;435764;884977;2205718;71467953;145141624
17153;44;76;125;157;206;238;287;319;332;341;350
17155;1;11;16;71;151;506;1261;3791;10096;29051;79531
17157;1;1;8;1;1;8;1;1;28;1;9
17158;1;5;20;124;744;5928;47424;426816;4268160;50578560;606942720
17159;2;2;2;3;3;2;2;3;2;5;2
17160;4;4;6;2;5;9;8;1;1;7;7
17161;19;269;419;569;619;719;769;919;1019;1069;1319
17162;1;1;3;10;38;156;692;3256;16200;84496;460592
17163;1;3;3;5;5;7;7;7;7;7;7
17164;1;4;9;16;4;11;20;31;5;16;29
17165;74;155;236;317;398;479;560;641;666;722;803
17166;0;1;4;9;17;26;37;50;66;83;102
17167;1;2;12;121;21;212;1212;12121;2121;21212;121212
17168;1;1;2;1;2;3;4;1;3;5;6
17172;1;1;1;3;1;3;5;21;49;187;409
17177;3;6;9;12;15;18;21;24;27;30;33
17179;4;5;6;7;27;42;43;1310;3125;47058;47059
17181;59;107;179;263;977;1231;1607;4231;4909;5939;8837
17183;1;1;5;31;229;1981;19775;224589;2864901;40591255;632760105
17187;3;9;15;21;27;45;51;63;189;93;99
17189;602;242438;100029148;38497164700;15254000000000;5977900000000000;2345240000000000000;920135000000000000000;361061000000000000000000;141687000000000000000000000;55601700000000000000000000000
17195;1;4;5;12;17;32;49;84;133;220;353
17198;0;0;0;0;0;0;1;6;26;100;360
17199;1;12;378;66324;106198818;1683770000000;254854000000000000;359443000000000000000000;4678180000000000000000000000000;559325000000000000000000000000000000000;612293000000000000000000000000000000000000000000
17201;3;8;15;20;24;35;36;48;56;63;80
17204;0;0;0;0;0;1;0;0;1;0;0
17206;1;2;1;3;1;3;2;4;1;4;3
17208;0;1;131072;129140163;17179869184;762939000000;16926700000000;232631000000000;2251800000000000;16677200000000000;100000000000000000
17210;0;0;0;1;0;1;0;1;1;1;1
17211;1;2;4;9;10;32;26;84;102;220;178
17215;7435;6205;93175555;101508825;354227000000000000000;111479225;4875230000000000000000000;23415200000000000;5354430000000000000000000;354223000000000000000;255274000000000000000000000000000000000000
17216;2;3;5;7;11;13;17;19;23;29;31
17217;1;2;6;24;120;720;4320;25920;155520;933120;5598720
17218;1;2;2;9;17;18;82;146;209;408;1113
17219;1;7;25;55;353;2143;18201;203783;2290841;37082423;818768313
17224;1;2;3;4;5;6;7;8;9;10;15
17225;0;1;2;3;7;5;6;4;8;9;10
17230;3;5;8;13;21;36;61;107;191;347;636
17231;1;-17;102;-153;-901;3553;833;-17255;-7242;55726;179554
17235;2;12;21;22;23;25;27;29;32;52;72
17239;0;1;30;498;4435;25395;107331;365260;1058058;2707245;6278140
17242;1;25;49;77;85;91;95;115;119;121;123
17244;1;3;5;6;15;17;18;51;20;85;105
17247;1;6;54;680;11160;226800;5504688;155433600;5006655360;181194000000;7279270000000
17248;1;344;16062;538672;19675348;734614472;27173404568;1004310000000;37150300000000;1374170000000000;50826400000000000
17249;4;6;11;24;43;70;111;172;260;383;550
17253;1;63;192;432;832;1452;2364;3653;5418;7773;10848
17255;2;3;11;18;44;71;155;251;510;825;1608
17256;1;2;1;3;2;4;5;3;6;7;4
17258;1;1;2;9;96;25;1800;44100;103219200;3869835264;128000
17262;1379454720;14182439040;212517000000000000;27099100000000000000000;680490000000000000000000;15229800000000000000000000000;34111200000000000000000000000;59023700000000000000000000000;0;0;0
17263;1;10;92;738;5053;29930;155904;725560;3061223;11854073;42564874
17264;47160;501516;3609684;21645828;117137700;594466020;2889375588;13620124260;62765849700;284278000000;1270120000000
17265;0;0;1;1;0;1;1;0;1;0;0
17266;504;864;960;1152;1260;2400;3276;3888;4992;6696;7020
17268;1;0;-1;0;1;0;-1;0;1;0;-1
17272;1;1;2;2;4;4;6;6;6;6;10
17273;1;2;2;3;3;3;4;5;5;5;5
17277;1;906150258;906150259;906150260;906150263;906150264;906150331;906150334;906150337;906150338;906150339
17278;3;19;67;83;131;163;179;211;227;307;419
17279;0;1;6;33;180;985;5418;29953;166344;927441;5188590
17280;1;2;63;14484;2422068105;30111600000000000000;4390290000000000000000000000000000000000;59487800000000000000000000000000000000000000000000000000000000000000000000000000;0;0;0
17283;1;1;5;1;10;1;76;9;925;45;17770
17284;0;0;0;0;0;0;0;0;0;0;0
17286;1;1;2;7;9;52;61;235;296;531;6668
17288;16471;86048;210075;388552;621479;908856;1250683;1646960;2097687;2602864;3162491
17292;1;1;-2;20;-504;25200;-2189088;302702400;-62564261760;18427500000000;-7449700000000000
17295;1;2;6;16;62;209;826;2884;12327;46607;197833
17297;1;1;5;19;97;863;18767;490889;19713443;1413873475;167867000000
17299;26;56;98;124;152;208;218;296;316;342;386
17302;88;84;81;54;56;40;90;0;0;0;0
17303;1;1;2;3;3;3;6;3;6;3;10
17304;1;4;11;23;41;67;102;147;204;274;358
17307;2;1;1;1;1;1;2;1;2;1;1
17310;0;0;2;1;1;2;3;2;3;2;2
17312;3;7;13;15;25;29;31;54;57;61;63
17313;1;20;132;294;440;270;1414;635;1716;2096;5108
17314;3;5;9;21;23;33;39;51;63;65;81
17315;1;6;26;102;473;1900;7428;29859;120761;488123;1973886
17316;2;2;3;1;7;5;8;8;60;51;43
17320;2;8;47;2163;18543;241727;3101272;842894268;0;0;0
17323;1;2;4;6;10;14;24;34;68;102;256
17324;0;0;31;43;53;61;73;83;97;109;113
17325;-1;0;2;62;554;74258;142682;2830946;1448977246;12576415426;1857880000000
17332;0;0;1;4;13;36;94;232;557;1300;2986
17334;2187;419904;9588028;86251004;495660330;2231009824;8684742989;30944246553;104712000000;344919000000;1122230000000
17335;1;168;16632;1270080;82927152;4878631296;266659000000;13809000000000;686528000000000;33073800000000000;1554470000000000000
17338;1;2;8;28;128;160;1264;1472;1820;7168;12136
17341;1;5;10;26;29;125;290;1090;1682;2794;3482
17342;40;5670;1311488;139966840;8517111552;256973000000;4498020000000;52749600000000;457174000000000;3130130000000000;17742600000000000
17351;1;0;0;0;1;0;0;1;1;0;0
17354;1;4;5;7;6;13;16;13;6;13;17
17355;0;1;2;3;5;7;9;11;13;16;19
17356;2;-1;11;-30;215;-1095;9200;-67060;676565;-6364125;75816050
17358;1;2;3;4;5;7;8;10;12;15;16
17359;-355687000000000;1223410000000000;-1821600000000000;1583310000000000;-909300000000000;369013000000000;-110228000000000;24871800000000;-4308110000000;577925000000;-60202693980
17360;1;3;11;137;5639;641129;152921807;65818751039;46091800000000;0;0
17361;1;1;0;2;3;5;10;18;33;61;112
17365;1;0;1;1;2;2;5;5;8;10;15
17366;0;3;11;48;188;768;3056;12288;49088;196608;786176
17368;1;1;1;2;2;0;3;3;1;1;1
17373;1;3;8;20;32;79;128;312;512;1234;2048
17374;2;3;9;8;1;2;4;6;6;5;6
17376;5;6;8;18;15;15;17;39;29;86;23
17377;1;34;34;1156;34;1156;34;39304;1156;1156;34
17379;10;91;756;5766;40688;268108;1666000;9856552;56010096;308055528;1650607040
17384;53;61;67;71;73;73;71;67;61;53;43
17388;2;3;23;33;223;323;233;333;2223;3223;2323
17389;1;1;1;1;1;1;5;20;55;125;251
17391;1;4;9;13;19;24;31;37;45;52;61
17394;5;1515;457525;138171035;41727195045;12601500000000;3805600000000000;1149280000000000000;347079000000000000000;104817000000000000000000;0
17395;2;8;-40;-4352;-233312;-14783360;-1406171520;-215345000000;-48522300000000;-14516000000000000;-5456410000000000000
17399;37;1027;586531;281651707;52221800000000;21230000000000000;3294480000000000000000;1270180000000000000000000;183482000000000000000000000000;9601090000000000000000000000000000000;0
17401;1;2;3;6;4;8;12;24;5;10;15
17403;7;733;733111;7331111111;733111000000000;733111000000000000000;733111000000000000000000000000000000000000;733111000000000000000000000000000000000000000000000000000000000000;0;0;0
17406;1;-1;1;1;-6;1;-1;23;-23;1;1
17411;3;0;5;9;4;0;7;4;0;5;3
17412;0;0;0;1;1;5;6;26;32;133;176
17413;5;8;89;110;209;236;413;1191;1259;5835;6771
17414;1296;28561;160000;531441;1336336;2825761;5308416;9150625;14776336;22667121;33362176
17415;1;2;12;24;12;24;56;78;48;42;184
17416;840;1080;1320;1512;1560;1848;1890;1920;2040;2184;2280
17418;1;1;2;1;3;1;2;2;2;1;3
17423;1;4;3;16;24;9;64;144;108;27;256
17425;16;48;144;192;432;576;960;1296;1728;2304;2880
17427;1;2;1;3;5;6;5;8;7;1;5
17428;1;1;1;1;1;1;1;1;1;1;1
17429;109;229;349;409;709;769;829;1009;1069;1129;1249
17430;2;3;5;7;11;13;17;19;23;29;13
17431;2;13;23;347;4241;41177;1677721;9224297;769230769;17831979413;156423000000
17433;-1;29;72;114;156;196;238;280;320;362;404
17434;1;12;99;700;4569;28476;172508;1026288;0;0;0
17435;1;-1;3;-23;425;-18129;1721419;-353654167;153923000000;-139766000000000;261831000000000000
17437;1;2;3;4;5;5;6;5;5;6;7
17440;9;27;163;877;5119;29101;166193;949883;5424617;30992313;177045523
17442;1;1;1;1;1;1;4;13;31;61;106
17443;1;15625;531441;4826809;24137569;85766121;244140625;594823321;1291467969;2565726409;4750104241
17448;128;12758;5134240;67898771;11146309947;766834000000;0;0;0;0;0
17449;1;0;0;0;0;0;0;0;0;1;0
17456;72225;18740754;1921749372;245892000000;29716300000000;3703180000000000;456217000000000000;56423200000000000000;0;0;0
17458;5;13;14;25;29;30;41;50;54;55;61
17459;1;2;7;63;1234;55447;5598861;1280128950;660648000000;770548000000000;2030050000000000000
17460;0;3;105;3570;121278;4119885;139954815;4754343828;161508000000;5486510000000;186380000000000
17461;2;3;4;5;6;7;8;9;11;12;13
17462;1;1;1;3;3;5;15;315;630;567;1134
17463;1;2;6;7;14;15;17;18;19;20;21
17466;16;256;1232;5929;44121;328329;2047902;12773476;85393582;570875449;3711466941
17467;3;6;9;12;17;22;27;31;37;42;47
17468;4;9;12;15;16;18;21;24;25;26;28
17469;3;5;7;37;43;53;59;73;79;83;97
17470;1;1;1;2;2;8;8;13;21;77;77
17471;1;2;3;4;5;6;7;8;9;130;1265
17475;1;6;8;9;10;12;14;15;16;18;20
17476;1;1;1;2;0;1;3;1;3;1;8
17481;1;1;1;1;1;1;1;1;1;1;1
17483;1;7;14;18;22;26;30;34;38;42;46
17484;678;14606;120290;1574348;17129792;220010616;2630528360;33067061342;411149000000;5153690000000;64828300000000
17485;6;12;6;18;24;12;36;48;18;54;66
17486;3;7;11;15;19;23;27;31;35;43;47
17491;0;12;64;156;288;460;672;924;1216;1548;1920
17494;0;1;3;7;9;13;19;21;27;31;33
17495;1;4;8;19;31;63;97;168;258;407;594
17496;1;8;60;416;2791;18296;118016;752008;4746341;29727472;185016612
17500;10;11;14;15;30;31;32;36;39;40;41
17502;2;3;6;12;15;21;27;42;45;57;66
17503;4;39;159;445;1005;1974;3514;5814;9090;13585;19569
17505;0;1;16;13;1;13;4;4;16;16;4
17506;15;21;28;39;52;68;88;111;140;173;211
17507;1;0;0;1;0;0;0;0;0;0;0
17513;1;5;20;60;160;376;820;1660;3190;5830;10252
17515;1;35;1050;210210;14294280;5703417720;577186000000;337654000000000;43364400000000000;32436600000000000000;4886340000000000000000
17516;7;11;13;17;19;21;22;23;26;29;31
17518;1;1;2;2;4;2;10;8;1;24;32
17519;8;2;4;2;6;4;0;6;8;7;1
17520;0;2;1;5;4;3;3;7;2;21;6
17521;1;3;16;105;770;6048;49764;423423;3695120;32891430;297473956
17523;1;2;2;3;1;3;4;2;2;4;5
17524;1;1;3;6;22;57;199;625;2229;7485;26938
17526;0;0;0;0;1;1;4;51;3529;601055;156473848
17532;1;2;6;24;119;708;4914;38976;347775;3447912;37601586
17533;1;214;3906;197048;6328365;247277805;8830682187;328547000000;11994400000000;441751000000000;16202900000000000
17534;285312000000;952810000000000;96549200000000000;2472160000000000000;30155900000000000000;231122000000000000000;1287830000000000000000;5688000000000000000000;21048500000000000000000;67766700000000000000000;0
17538;1;7;31;151;217;1057;4681;32767;0;0;0
17539;1;10;14;25;104;116;124;136;145;149;151
17540;2;4;4;6;16;6;9;36;36;10;14
17542;0;1;83;6727;544895;44136511;3575057423;289580000000;23456000000000;1899930000000000;153894000000000000
17544;1;1;1;1;2;3;8;30;132;1400;23595
17554;1;2;3;4;5;6;7;8;9;10;11
17555;1;2;3;4;5;6;7;8;9;14;15
17559;1;3;5;7;9;11;13;15;17;19;20
17560;-1;-1;-1;-1;-1;-1;-1;0;0;-1;-1
17561;1;27;28;55;83;138;221;359;580;939;1519
17562;1;3;7;11;18;25;43;51;67;81;104
17564;4;15;35;72;128;205;311;448;618;829;1083
17569;1;25;600;14400;345600;8294400;199065600;4777574400;114662000000;2751880000000;66045200000000
17571;1;2;4;-40;-688;23968;-1134784;188393088;-40676275968;10688500000000;-3523680000000000
17572;1;1;1;2;2;1;2;1;2;3;2
17573;0;0;0;2;0;2;9;54;0;30;15376
17574;1;2;3;5;4;6;7;9;10;12;8
17575;29;47;67;101;103;107;109;181;251;293;307
17577;1;1;1;1;2;3;1;3;6;10;1
17578;2;3;2;3;163;19;151;263;131;3041;311
17581;0;0;0;0;0;0;0;0;0;0;1
17582;0;1;3;4;7;8;12;11;15;16;18
17586;1;2;5;129;1536;5430;13138099;0;0;0;0
17587;1;4;40;388;3472;29644;246520;2019028;16386592;132264604;1063976200
17589;7;4;3;9;7;1;1;9;3;3;5
17591;0;0;0;0;1;2;9;31;147;809;5855
17592;625;28561;83521;707281;1874161;2825761;7890481;13845841;28398241;62742241;88529281
17593;0;1;4;5;9;16;28;17;28;0;0
17594;4;2;3;3;1;3;1;1;4;3;1
17595;18;58;178;538;1618;4858;14578;43738;131218;393658;1180978
17596;1;8;0;1;9;8;3;1;2;7;3
17597;186300;887220;3060360;9883440;26969040;67288830;141778440;256463820;399874640;547907454;670419540
17600;22;1;4;1;2;1;2;8;1;3;3
17601;1;2;3;3;3;5;4;5;4;5;7
17602;1;1;1;2;3;3;8;9;16;17;62
17606;1;0;3;6;6;2;5;3;6;3;6
17607;1;4;5;16;20;25;64;80;100;125;256
17609;6;114;1896;30624;491136;7862784;125822976;2013241344;32212156416;515396000000;8246340000000
17613;1;2;10;88;1144;19856;432464;11348352;348715392;12286859008;488471000000
17616;1953125;38443359375;3814700000000;78815600000000;756681000000000;4605370000000000;20711900000000000;75084700000000000;231617000000000000;630249000000000000;1551330000000000000
17617;3;4;5;7;13;17;23;29;43;47;83
17619;1;5;29;219;2011;20911;235543;2801821;34667941;441977129;5768828529
17620;1;1;2;2;4;3;5;2;5;6;6
17625;65;4225;130828;3619683;88342972;2067672443;47015346159;1055710000000;23532300000000;522710000000000;11588300000000000
17626;1;1;3;3;7;13;13;29;41;67;67
17627;1;3846;5668692;7837276902;10754800000000;14747000000000000;20223700000000000000;27738600000000000000000;38049100000000000000000000;52194000000000000000000000000;0
17628;1;2;3;4;5;6;8;9;10;11;12
17629;8;21;80;390;2304;15960;126720;1134000;11289600;123742080;1480550400
17630;23;57;1113;1719;2329;3137;4143;4753;5961;6771;7379
17632;1;2;12;120;5040;131040;0;0;0;0;0
17633;0;0;0;0;472;3504;10576;23340;40448;61900;87696
17634;3;23;43;83;103;163;223;263;283;383;443
17637;5;64;228;2524;76008;4781032;610379072;156384000000;80186900000000;82242400000000000;168705000000000000000
17639;0;1;3;6;12;20;36;46;66;90;138
17644;15;90;3360;2618880;5059200;4873497600;7381524480;27990144000;57846297600;4609290000000;4440100000000000
17645;1;0;0;30;0;360;7650;0;302400;4544400;11226600
17646;1;0;1;1;1;-1;2;-1;2;0;2
17647;0;1;2;3;4;5;6;7;8;9;10
17650;1;19;236;2426;22407;193305;1591402;12667072;98321333;748601711;5614533288
17653;19;361;1799;9039;55576;297702;1493661;7719181;39409874;196757286;981006372
17654;50;65;85;125;130;145;170;185;200;205;221
17662;35198;4795;8029;18415;33445;44887;60973;82783;112357;168727;255085
17664;0;1;4;12;57;567;7375;140117;4140556;183075048;11961299512
17666;8;4;9;1;3;8;6;1;2;1;2
17668;18;19;24;27;28;30;33;35;36;39;44
17669;1;1;3;21;300;7260;259560;12703320;812871360;65841128640;6584100000000
17673;1;2;2;2;5;2;3;8;8;3;3
17674;1;8;3650;97167566;149893000000000;13410000000000000000000;69569900000000000000000000000000;20929900000000000000000000000000000000000000;0;0;0
17679;13;10321;1651609;265729;2418380000000000000;143457000000;4788280000000000000000000000000;55836500000000000000000000;21624800000000000000000000000;996389000000000000000000000000000000;97188300000000000000000000000000000000000000
17684;2;17;40;5126;211888;134691000000;28539600000000000;2443530000000000000000000000000000;69737600000000000000000000000000000000000000000000;0;0
17685;2;9;1;2;9;9;5;6;2;3;2
17689;8;1;6;1;8;9;3;0;4;1;0
17690;1;1;3;14;80;516;3608;26729;206808;1655232;13612512
17691;50847534;47374753;46227250;45512275;44992411;44591145;44258984;43979302;43739541;43529316;43336106
17697;1;1;2;8;33;194;1196;8196;58140;427975;3223610
17698;4;8;9;10;12;14;15;16;18;20;21
17699;1;-2;1;-2;-4;12;-3;10;-3;-20;-7
17700;4;6;6;6;90;90;0;0;0;0;0
17701;1;2;3;5;7;8;11;15;16;21;24
17705;4;104;1206;13132;148432;1692480;18893254;0;0;0;0
17708;0;1;2;0;4;0;0;0;8;0;0
17709;2;420;920;1122;1218;0;0;0;0;0;0
17710;1;14;84;410;1820;7648;31008;122584;475600;1818656;6874560
17712;1;4;9;16;27;40;57;76;99;128;159
17714;1;7;24;74;228;712;2243;7079;22370;70722;223619
17715;1;1;1;4;11;35;125;445;1699;6668;26935
17716;2;2;23;229;229344751;252545297;9094640000000;1668630000000000;4673740000000000;138204000000000000;564010000000000000000
17717;1;24;255168;15038700000000;12124000000000000000000000;317159000000000000000000000000000000000000;550924000000000000000000000000000000000000000000000000000000000;0;0;0;0
17718;1;32;8112;17971200;355207000000;63010700000000000;100505000000000000000000;1442360000000000000000000000000;186276000000000000000000000000000000000;0;0
17723;1;1;1;3;1;1;1;1;2;1;2
17725;1;3;4;5;6;6;7;9;8;12;10
17730;256;1731840;3334295986;3616570000000;0;0;0;0;0;0;0
17732;1;3;2;6;10;5;11;29;32;13;19
17734;2;2;7;2;15;10;15;8;34;12;45
17737;4;0;0;1111;9596;459702;3661130;396851809;3695255764;395638000000;3770570000000
17740;6;11;15;20;24;29;35;38;42;47;51
17741;1;38;1445;54948;2089469;79454770;3021370729;114892000000;4368900000000;166133000000000;6317430000000000
17742;1;6;7;0;2;7;7;6;5;2;3
17744;1;6;44;336;2600;20232;157864;1233528;9646328;75470472;590627208
17745;2;2;727;79;241;727;823541;5764799;19681;16679900000000;31381059607
17746;0;2;3;7;5;11;7;0;17;19;11
17747;1;2;3;4;6;7;10;12;15;17;22
17749;1;4;12;20;3;11;15;19;36;2;40
17751;1;1;1;1;4;5;6;7;23;30;38
17754;242;485;566;647;674;701;710;719;722;725;726
17755;1;-13;1;11;19;-10243;751;49873;2857;-72752269;434293
17758;1;2;3;4;2;4;6;8;6;12;18
17760;1;1;2;3;7;14;36;74;201;425;1178
17763;1;1;-2;1;-8;1;24;-20;1;184;-40
17764;3500532;4142036148;4769140000000;5535600000000000;6409210000000000000;7426830000000000000000;8603580000000000000000000;9967780000000000000000000000;11547900000000000000000000000000;0;0
17767;2521;3361;4201;5881;7561;9241;12601;13441;14281;15121;18481
17768;105148000000000000000000000;105148000000000000000000000;105148000000000000000000000;105148000000000000000000000;105148000000000000000000000;105148000000000000000000000;0;0;0;0;0
17769;0;0;1;0;1;2;0;1;3;2;2
17770;1;37;1332;47952;1726272;62145792;2237248512;80540946432;2899470000000;104381000000000;3757720000000000
17771;1;0;0;1;0;0;0;0;1;7;1
17772;3;8;13;18;23;28;30;31;32;33;34
17773;3;24;100;594;4389;35744;325395;3288600;0;0;0
17774;1;0;0;0;1;0;0;1;1;0;1
17775;1;1;2;4;16;56;256;1072;11264;78976;672256
17778;2857;57;1;22857;457;9;182857;3657;73;1462857;29257
17781;16;32;48;64;80;96;112;128;144;160;176
17783;1;27;648;10539;149346;1938780;23903442;284222502;3292100235;0;0
17786;1;0;0;0;1;5;21;91;422;2103;11226
17787;0;77;679;6788;68889;168889;2677889;26888999;126888999;3778888999;13778888999
17788;1;3;18;140;1260;12474;132132;1472328;17065620;204155380;2506399896
17790;4;13;394;29403;7468429;6596370468;0;0;0;0;0
17792;2;3;11;13;31;101;103;113;211;311;1013
17796;1;3;7;14;28;57;115;230;460;921;1843
17797;1;2;24;968;128000;59973152;107565000000;774841000000000;22880600000000000000;2779530000000000000000000;1383520000000000000000000000000
17798;2;3;5;7;17;19;23;37;53;67;71
17799;13933;23633;28229;49223;71363;79633;81239;90547;96857;97613;108827
17800;0;1;2;3;4;8;10;11;12;13;15
