Id;Sequence;Sequence;Sequence;Sequence;Sequence
22897;1,02346E+18;1,02346E+18;1,02346E+18;1,02347E+18;1,02349E+18
22898;1;1;2;1;6
22899;1;1;1;1;2
22900;1;2;8;89;233
22903;8;128;4096;32768;1048576
22904;1;1;1;0;1
22910;64;72;112;189;197
22913;1;2;6;9;1
22915;144;169;196;256;441
22916;0;1;2;3;4
22917;8;1;5;7;1
22919;1;2;15;-32;87
22920;125;1331;4913;12167;24389
22922;0;0;11;40;112
22924;0;0;0;0;0
22926;1;1;3;11;45
22927;1;1;1;2;1
22928;13;1;1;8;1
22929;0;96;1560;20160;246840
22933;1;1;2;3;5
22934;1;12;807;167502;73291308
22936;21;153;153;1107;2755
22940;0;1;-1;-3;12
22948;1;0;0;24;-256
22950;4;3;9;9;0
22952;0;1;2;4;6
22953;3;10;15;343;387
22954;1;5;0;0;0
22958;1;1;0;1;0
22962;1;4;54;768;75000
22963;2;3;7;19;31
22965;6;26;36;46;56
22972;4;8;17;33;34
22973;0;1;2;4;8
22974;3;23;11;73;73
22978;1;3;15;99;794
22980;1;1;0;1;0
22981;1;2;4;2;4
22982;3;40;546;7728;112035
22988;1;7;16;45;84
22990;1;1;1;1;2
22991;2;15;63;58;9
22996;28;784;13524;163746;1519738
22999;1;11;83;466;2169
23001;2;7;27;49777;4994777
23002;1;25653;1612210777;1,57366E+14;1,99475E+19
23003;0;6;60;540;5040
23004;9;81;729;6513;57369
23005;1;2;4;6;7
23006;1;4;11;24;46
23007;0;1;16;17;0
23010;0;5;3;3;3
23011;2;3;11;29;226
23013;0;0;0;1;0
23014;7;7;43;13;43
23015;1;1;1;0;0
23016;1;48;1176;19648;252204
23018;1;1;1;2;1
23022;157;1741;1873;1884;20749
23024;7;70;77;147;175
23026;1;0;2;0;0
23028;1;1;7;73;1051
23032;2;2;2;5;3
23033;1;17;138;979;6755
23037;0;1;19;343;6175
23039;1;1;1;1;1
23040;0;1;2;3;4
23041;1;33;114;1138;1763
23042;7;14;23;27;28
23046;8;257;2581;2582;258198
23050;0;1;3;9;26
23052;13;19;43;53;89
23053;0;3;12;27;48
23054;9;1;2;1;18
23058;4;18;40;76;116
23060;1;3;-15;113;-5397
23071;1;3;4;2;7
23072;0;1;2;4;6
23075;2;11;13;17;23
23076;7;7;3;1;5
23078;900;15309;15309;296570;599534
23081;1;5;45;445;4445
23082;0;75;244;86359;281384
23085;1;2;4;8;16
23086;5;7;61;271;1951
23087;50;66;75;80;83
23088;3;97;193;257;353
23091;2;3;5;41;131
23092;4;144;3844;97344;2439844
23094;8;14;44;268;72368
23095;0;1;12;566;128311
23097;1;1;1;0;0
23098;1;1;1;1;1
23100;0;720;1812;3428;5768
23101;1;2;3;4;5
23102;2;6;56;152;296
23103;1;3;3;11;18
23105;1;9;0;6;2
23106;1;0;3;5;16
23109;12;28;44;60;76
23110;0;1;4;9;17
23112;1;2;4;8;15
23114;2;5;10;17;26
23115;1;1;4;26;243
23118;-10;-11;-9;91;101
23119;1;4;8;6;8
23122;3;7;31;127;12207031
23126;1;3;4;7;106
23127;29;257;599;827;941
23130;1;7;2;2;7
23135;0;1;2;-1;1
23136;1;8953;176703337;5,15885E+12;1,90172E+17
23142;1;2;3;1;1
23143;0;1;2;6;18
23144;1;2;4;8;16
23147;1;1;2;1;6
23148;152;803;1016;1853;3031
23149;1;1;1;1;1
23150;2;2;2;4;2
23151;6;15;77;187;589
23152;1;1;8;15;95
23153;4;116;59082;38462980;22016885138
23155;0;936;14554800;2,26327E+11;3,51939E+15
23156;1;4;2;6;8
23157;1;2;7;11;27
23158;1;1;2;1;12
23159;2;6;7;10;14
23160;1;3;17;128;1131
23161;1;1;4;51;1480
23162;1;1;1;1;1
23165;1;1;1;1;4
23166;4;16;36;150;558
23168;4;6;27;35;51
23169;101;11;211;13;41
23170;31;61;241;7681;15361
23173;0;1;43;169;227
23176;1;196495641;4,24716E+16;9,09733E+24;1,95023E+33
23177;1;1;1;2;1
23180;1;2;5;29;31
23181;1;0;1;3;0
23182;1;0;0;0;1
23185;23;47;2185;4417;205367
23186;1;2;3;4;5
23188;1;3;8;21;30
23193;1;8;120;2276;49204
23194;1;42;303;1144;3105
23196;88;188;288;388;488
23199;3;3;3;27;9
23200;9;83;84;85;86
23201;1;3;8;20;49
23205;1;2;7;24;69
23207;6;4;4;9;2
23210;1;2;5;18;67
23212;2;3;7;5;11
23217;5;7;11;17;19
23218;1;2;3;4;6
23221;1;1;4;4;16
23222;19;29;59;109;139
23225;1;-1;1;-1;-2
23227;1;8;28;76;182
23232;2;10;12;18;44
23235;1;1;2;2;4
23236;1;1;2;2;2
23237;1;1;2;2;3
23239;1;25;68;269;427
23240;3;5;7;13;17
23241;5;11;17;23;29
23242;3206;3267;3268;3292;3674
23244;0;24;1400;7620;20952
23246;1;3;12;21;51
23247;2;6;16;36;70
23249;1;5;9;21;25
23250;4;2;1;3;5
23251;1;9;156;1696;3974
23253;38;37;36;35;34
23254;2;2;5;2;15
23255;3;5;7;11;13
23256;49;53441;5878461;646577269;71117621129
23257;3;11;27;87;339
23259;1;10;105;1035;10011
23261;1;2;4;9;18
23263;2;3;4;5;8
23264;1;3;6;16;27
23265;2;7;13;167;1,84341E+12
23266;1;1;1;1;3
23267;1;7;97;2143;68641
23268;0;0;1;3;1
23270;1;3;2;14;56
23277;3;5;6;7;10
23278;1;57;390;1510;4335
23279;1;1;30;2385;273560
23284;1;10;450;23200;0
23285;2;4;6;8;10
23286;0;0;0;0;0
23287;3348;91703;2604782;61994345;1609422202
23288;1;2;4;10;18
23289;0;1;3;105;13515
23292;0;12;1848;351780;68149872
23295;1;2;3;6;8
23296;1;1;1;2;2
23298;1;7;13;19;31
23300;1;11;180;4288;141584
23302;1;32;94;278;824
23305;1;4;3;8;9
23307;1;1;1;1;1
23313;2;23;523;2357;112573
23314;0;0;1;3;6
23315;36;396;4740;50716;578696
23317;0;5;350;27048;3100695
23318;4;6;8;10;12
23319;0;1;1;0;1
23320;0;1;6;27;72
23321;1;1;18;333;6318
23322;1;34;289;19652;83521
23324;49;77;91;119;133
23326;0;1;2;1;3
23327;24;25;49;123;172
23328;1;3;4;7;11
23331;0;0;1;7;35
23332;0;6;30;37;53
23335;1;4;0;2;8
23339;6;28;34;120;126
23342;1;4;6;8;9
23343;0;0;0;21;11
23344;34;697;14925;318732;6814290
23349;1483;5381;6271;7229;9181
23352;0;1;0;0;0
23354;2;6;12;20;34
23355;1;1;2;12;106
23356;0;1;2;6;24
23357;1;1;2;1;1
23358;1;3;2;7;2
23360;9;73;5257;27630793;7,63461E+14
23362;0;1;2;3;4
23366;1;7;13;29;43
23367;1;392;25872;703640;10746400
23368;1;6;7;2;6
23373;1;21;307;3969;48979
23374;1;2;3;4;6
23377;1;19;266;3326;39387
23378;2;4;5;6;10
23379;1;11;12;23;35
23380;71;107;179;269;311
23382;128;614;19046;202662;3960146
23383;1;1;-3;-14;-35
23385;1;1;1;1;1
23388;1;1;24;1;36
23395;0;0;3;3;9
23398;96;4644;4944;6664;6966
23400;2;2;3;7;13
23401;22;130;184;1012;2272
23402;4;3;0;6;7
23403;1;-2;13;-7;29
23404;5303944;6677714;2,07094E+18;2,96943E+18;6,68555E+18
23406;11;23;517;1057;23771
23407;5;9;17;29;77
23408;1;1;1;1;1
23412;1;1;1;1;1
23413;1;3;10;31;96
23414;1;1;4;27;256
23415;4;8;83;1125;6582
23418;23;29;41;43;47
23419;1;0;0;0;1
23421;1;21;420;8400;168000
23422;0;4095;531440;16777215;244140624
23425;11;203;3971;64771;1011875
23431;1;1;1;4;15
23438;4;270;37200;57900;63690
23440;2;4;81;64;9765625
23441;1;3;7;8;6
23442;1;7;154;16275;9106461
23444;173;661;1637;1759;2003
23445;5;7;113;193;211
23447;1;1;-1;1;-19
23448;1;1;1;1;1
23449;6;39;42;78;114
23454;25;32;40;43;48
23458;19;49081;109297;270343;0
23459;4;8;17;37;81
23460;3;0;1;7;9
23462;1;1;1;2;4
23464;1;1;1;1;2
23465;13;21;33;51;79
23467;1;1;4;10;46
23469;1;0;1;1;0
23471;3;5;13;89;233
23473;0;1;8;7;4
23476;1;2;1;3;5
23478;1;2;3;20;128
23479;-1;-1;1;5;-7
23482;9861;-1986;9681;-1896;8961
23483;0;1;2;3;7
23486;1;0;0;0;0
23491;330003580;3705771825;5373457070;0;0
23492;1;1;1;1;2
23500;2;8;66;536;4354
23501;1;2;6;20;72
23502;2;4;2;6;2
23506;4;22;26;48;74
23508;5;11;29;59;137
23511;11;4;2;4;22
23512;1;2;5;11;26
23513;0;0;720;32400;434160
23515;0;36;144;324;576
23516;1;2;6;7;7
23517;1;1;1;2;2
23519;1;1;1;1;1
23520;53;431;1457;3455;6749
23521;12;20;24;30;40
23522;1327;8467;9973;11743;12163
23524;1;3;6;1;2
23525;1;5;8;6;6
23527;1;2;8;36;216
23530;0;1;1;0;1
23531;1;2;3;5;6
23532;2676;6246;8349;9427;10587
23534;63;144;225;306;387
23537;1;19;60;116;196
23538;0;70;4322;5922628;263152508
23539;1;3;6;8;7
23543;0;3913;2217402;1130617545;5,43708E+11
23544;198;518;1084;2232;4901
23548;17;20;32;33;41
23549;2;3;7;9;33
23554;1;0;0;2;0
23556;5;19;23;29;47
23558;1;1;0;1;1
23559;1;3;4;7;11
23560;1;4;4;0;6
23561;1;1;2;3;6
23566;1;3;5;11;344
23567;1;2;1;4;2
23570;0;6;18;136;654
23571;24;12;48;20;8
23572;-1;0;3;5;5
23575;0;0;0;0;0
23580;8;0;7;6;7
23581;1;2;3;3;1
23582;353;1553;5393;6833;7187
23585;29;3;4;5;1
23586;1;63;435;100347;100353
23592;0;0;1;0;0
23593;1;3;9;13;11
23594;256;268435456;2,81475E+14;2,95148E+20;3,09485E+26
23595;83;248;124;62;31
23596;1;3;5;7;9
23600;1;3;5;9;15
23603;1;1;3;5;7
23604;4;7;7;6;5
23606;0;-16;0;0;0
23607;0;0;1;0;2
23608;1;-1;0;2;-6
23609;1;8;16;36;64
23612;1;1;1;8;15
23615;0;1;1;10;21
23616;1;1;1;2;10
23617;217;341;1458;2457;3059
23619;1;5;11;130;670
23621;1;2;3;0;4
23622;2;2;3;2;3
23626;0;0;2;8;7
23627;1;21;420;8400;168000
23633;0;0;1;2;5
23636;0;0;0;6;67849629696
23637;1;16;17;33;50
23639;30;1230;1290;1482;2730
23640;1;1;2;1;2
23642;4;10;20;24;30
23644;5;420;7440;8190;18600
23648;-8;0;-48;0;64
23650;2;3;3;6;11
23652;1;2;3;6;9
23655;1;1;1;-1;-1
23656;1;8;56;368;2336
23662;1;3;3;4;9
23666;1;3;15;64;276
23667;89;863;8821;68683;864883
23669;3251;4373;14293;14303;27073
23670;1;37;894;18212;342909
23672;0;1;2;4;9
23674;1;0;-2;-7;-18
23675;0;1;9;87;975
23676;1;8;4;7;7
23677;1;43;1806;75852;3185784
23679;3;5;7;6;9
23680;0;1;8;10;13
23681;1;0;1;1;2
23682;1;6;28;144;688
23683;0;1;2;3;4
23686;1;1;1;1;-1
23688;3;6;9;11;14
23689;2;4;6;7;8
23690;5120;1501674;144605184;7683664202;2,82359E+11
23694;5;53;5323;532313;53231317
23700;1;18;101;357;978
23702;13;163;2803;3565153;210344143
23703;0;0;0;1;1
23705;1121;1256641;555815721;3,03754E+11;1,59876E+14
23706;1;2;3;5;6
23707;0;0;1;0;11
23712;0;0;30;728;5364
23714;1;1;2;3;8
23719;1200;5400;29520;187200;1310400
23723;1;10;34;206;1351
23726;24;42;264;288;462
23727;3;5;9;33;383
23728;6;66;786;9426;113106
23733;1;3;171;1711;1717731
23736;578;594;614;622;642
23738;11;91;101;9901;10001
23742;1;2;3;4;6
23748;20;24;529;530;531
23749;1;-2;1;5;-4
23750;1;2;17;385;31380
23751;124;434;972;1754;2784
23752;6;4;0;3;1
23753;1;2;10;11;12
23754;0;8;256;4608;65536
23755;1;6;24;156;564
23756;1;2;3;7;9
23757;1;2;3;11;45
23760;1;11;5;16;269
23761;1;2;1;5;11
23764;29;1;6;2;14
23766;3;5;11;19;29
23767;1;2;7;25;97
23768;34;40218;20624430;11094190209;6,02928E+12
23769;0;0;1;5;26
23770;2;5;11;23;47
23771;1;1;2;1;5
23772;23;70;793;2449;113447
23774;2;7;25;1985;14905
23775;30;2;3;5;5
23777;1;2;3;11;17
23779;11;19;61;89;101
23782;3;6;8;9;10
23783;1;4;22;163;1564
23784;1;5;21;70;214
23786;2;5;6;23;11
23789;15;1080;587208;953124784;3,41031E+12
23790;1;95;336;848;1800
23792;1;3;25;245;32065
23793;1;3;5;9;9
23798;1;2;3;5;7
23799;1;1;2;3;4
23800;1;2;3;5;16
23801;1;1;5;0;5
23806;79;373;569;863;1451
23807;0;1;3;2;7
23809;3;9;84;1353;24618
23810;3432;936369720;1,02661E+15;2,12837E+21;6,36869E+27
23811;0;1;50;2451;120100
23813;2;1;5;5;12
23814;3;0;5;2;7
23816;0;1;10;11;100
23817;2;3;5;11;23
23818;2;1;1;1;8
23819;1;528;183888;16906176;397256784
23824;1;2;17;268;6218
23825;18;43;68;78;83
23827;1;2;6;18;55
23828;3;24;120;150;195
23832;0;1;3;6;9
23833;1;31;930;27900;837000
23835;0;0;0;0;0
23836;7;1848;279918;53808534;9560464068
23837;1;5;51;868;0
23839;1;6;10;14;22
23840;0;1;1;1;2
23844;90;188;356;654;1190
23848;1;1;26;1931;170796
23851;0;1;11;12;22
23852;0;0;1;4;9
23853;1;7;23;63;159
23856;1;3;6;12;18
23857;1;2;1;10;5
23859;16;121;169;196;289
23864;2;47;2207;103682;4870847
23865;1;2;11;49;217
23867;6;19;19;60;104
23872;1;4;7;11;17
23875;6;3;9;2;5
23877;1;3;3;5;6
23878;1;4;6;9;12
23879;44;49;75;98;116
23880;1;1;25;1728;234256
23882;1;50;2500;125000;6250000
23883;23;59;83;89;127
23886;13;31;113;130;213
23887;1;38;911;17632;301245
23890;25;72;122;169;219
23891;1;20;21;31;32
23892;1;1;2;1;3
23893;2;5;193;16319;2867257
23898;2;7;22;68;205
23900;0;4;20;24;38
23901;0;2;17;104;134
23902;1;2;5;53;3422
23904;1;1;3;13;87
23905;1;3;5;7;20
23907;1;1;1;2;3
23908;2;3;3;3;3
23909;2;3;5;6;7
23910;2;7;18;39;75
23912;2;4;5;7;10
23914;1;18;306;5202;88434
23915;4;8;9;10;14
23916;1;3;271;61535;50812751
23917;1;46;2070;93150;4191750
23922;1;3;3;18;3
23923;15;225;1425;8463;55361
23924;0;0;0;17;7720
23925;1;9;72;576;4608
23928;3;7;13;23;47
23929;1;0;0;1;1
23930;1;2;2;3;2
23932;36285;1174669;11644559;320519921;3677014705
23933;10;15;21;22;25
23934;1,11111E+85;1010110;10012;1112;321
23935;17;1;2;1;1
23936;1;-2;4;-2;2
23937;1;1;1;0;0
23938;2;6;90;960;1974
23939;1;3;9;43;129
23941;0;0;1;3;5
23943;1;4;1;12;6
23944;148726593;157836492;175429863;184539762;249715683
23945;12574;248940;6127845;147377704;3619876639
23946;1;0;1;2;15
23947;1;4;54;1568;80680
23949;2;21;231;15686;397385
23953;0;0;0;0;0
23955;1;4;1;20;5
23956;1;2;3;4;5
23957;1;20;380;7220;137180
23958;0;0;0;4;-4
23959;1;1;1;1;1
23960;6;12;24;34;40
23966;5;239;3083;934403;1666733
23967;1;4;11;34;93
23968;20207;181226;552276;1969008;4428300
23969;37;39;40;41;175
23970;2;6;10;14;18
23971;0;0;0;1;0
23972;2;3;4;6;7
23973;295569;1811079;1964375;2069469;4473387
23977;1;2;8;9;15
23978;224;2057;265225;843637;6530355
23980;1;1;2;3;4
23982;2;1;3;7;11
23983;3;31;311;3119;31193
23984;1;138;3690;66724;1103582
23985;1;1;2;5;10
23986;9;30;50;72;92
23989;1;4;47;0;0
23993;1;2;2;4;6
23994;199;91199;111119;111919;119191
23996;13;37;61;73;97
23997;4;12;24;36;40
23998;0;1;2;5;7
23999;1;2;4;6;8
24000;1;4;16;36;64
24001;3;5;1;7;2
24002;362797056;1,75922E+13;3,67034E+15;1,31622E+17;1,95135E+18
24004;1;2;8;26;108
24008;1;0;0;0;0
24010;33;170;1274;15470;33614
24012;12;13;15;17;19
24013;2;5;11;23;47
24015;1;1;4;1;7
24018;1;0;18;24;-324
24019;1;1;6;108;2640
24021;10;18;20;22;26
24023;1;3;7;10;19
24025;1;28;62;-38696;-1217780
24027;0;0;0;0;0
24028;21;571;311216;8862785;6888550898
24033;1;1;1;1;1
24034;1;2;3;4;6
24036;1;3;11;45;191
24041;1;4;24;216;2952
24042;51;63;123;597;687
24047;1;4;14;46;162
24049;74;241;764;2399;7580
24051;13;99;827;6743;55447
24052;0;0;816;53136;986880
24053;1;1;2;4;10
24055;1;1;3;17;146
24058;2;4;15;33;90
24059;0;1;0;5;12
24060;1;35;903;32271;2095135
24066;0;6;500;48114;4705960
24067;11;77;88;101;121
24068;2;4;6;12;14
24071;119780;2414666;2908657;4490299;4953531
24072;44;144;244;344;444
24073;1;1;1;1;1
24074;-8;6;-27;65;-56
24078;0;1;2;3;4
24079;1;4;14;36;85
24081;1;2;3;5;7
24082;9;49;121;225;361
24084;3;4;5;7;11
24087;1;1;3;1;6
24091;3;29;1169;250841;318174607
24092;1;1;1;1;-1
24093;1180224;160435446;21570701058;2,89003E+12;3,87664E+14
24097;1;2;1;4;1
24100;1;2;3;5;7
24103;1;3;16;405;672320
24104;5;59;151;509;541
24106;1;3;8;17;27
24107;1;-3;70;-11160;12850368
24108;1;2;3;3;3
24109;7;28;49;70;112
24111;3;4;1;9;9
24112;1;1;1;-1;-4
24114;0;2;13;4;15
24116;1;2;3;4;5
24117;1;1;1;2;1
24119;0;21;21;563;290
24120;1;5;33;209;1281
24121;35;71;107;143;179
24122;101;11311;1114111;111181111;1,11111E+11
24123;23;27;41;47;65
24128;1851;1867;1871;1879;1899
24132;1;-819;894621;-901984419;9,27258E+11
24134;3;5;7;9;13
24135;1;1;2;2;4
24137;1;15;1231;19615;12280111
24138;4;26;57;247;502
24140;40;70;82;100;124
24141;14;38;94;254;682
24142;1;20;180;560;1460
24143;2;2;2;2;2
24144;5;2;2;4;3
24145;1;49;2352;112896;5419008
24147;1;1;1;1;3
24148;0;0;20;78;192
24149;1;3;5;9;2
24151;399;8855;588455;139501439;3512071871
24154;6;38;244;1418;8706
24156;1;1;1;1;2
24159;2;2;4;4;4
24160;5;13;13;17;31
24165;1;0;0;1;0
24166;2;5;7;11;13
24168;0;6;222;5052;109512
24169;0;1;1;1;1
24174;2;3;4;8;9
24175;37;10960;1417772;168585867;20696263392
24178;1;6;63;873;8325
24179;1;1;1;1;5
24181;1;7;19;37;67
24183;1;2;8;56;984
24184;1;5;7;15;21
24185;3;13;113;2113;12113
24187;1;3;9;109;141
24189;1;2;6;27;190
24193;1;3;14;68;358
24195;1;3;-496;-19619;-261888
24196;84486;1543290;33085795;644528966;12070745813
24198;1;25;45;65;81
24199;1;14;182;2366;30758
24200;6;1;3;7;0
24201;1;1;1;1;1
24202;10;58;522;1341;6708
24203;3;12;48;192;768
24204;0;3;45;630;8778
24205;207;208;209;307;308
24206;7;119;2008;33873;571358
24209;1;2;3;4;7
24210;0;1;1;2;3
24211;1;4;1;9;8
24213;2;16;88;414;1810
24222;1;3;8;30;133
24223;1;1;2;1;1
24225;11;98;751;5303;35413
24229;1;2;-10;41;-148
24231;5;8;16;10;30
24232;3;21;168;280;210
24233;1;4;1;6;8
24238;3;23;31;137;191
24239;1;1;5;11;47
24240;16;729;390625;40353607;25937424601
24245;1;1;1;3;4
24246;211;617;1499;2087;2857
24248;3;35;450;5875;76875
24249;57;4065;262017;16776705;1073678481
24251;2;3;13;12721;19441
24253;0;0;140;1435;7693
24255;1;3;6;14;32
24265;1;4;12;22;35
24266;1;2;5;17;65
24267;1;4;56;1894;117288
24268;1;1;42;9529;6421892
24269;1;3906;3000366;414425080;19064362455
24273;1;2;4;8;101
24275;1;1;5;18;59
24278;66;78;105;190;231
24280;26;2;2;52;2
24281;0;1;0;1;1
24282;2;7;13;18;23
24284;1;3139;19546975;1,71475E+11;1,84678E+15
24286;1;2;4;7;13
24290;1;2;4;9;121
24292;1;145;21169;3090529;451196065
24293;3;313;13331;33533;1333331
24296;28;63;79;132;197
24297;0;1;2;3;5
24298;1;4;36;400;4900
24299;0;1;5;7;8
24301;1;45;1350;34650;831600
24304;0;0;1;2;0
24305;1;2;3;4;6
24306;1;4;24;256;5120
24308;0;0;4;31;240
24310;1;1;1;0;0
24313;7;113;23;13;31
24314;3;5;3;8;10
24315;1;1;37;47773;2230338061
24319;1;1;1;2;2
24320;1;2;2;2;2
24321;1;0;-2;-14;-94
24325;2;8;11;26;29
24328;67;191;197;211;277
24330;0;2;8;24;52
24331;3;6;6;30;15
24333;1;4;9;40;195
24336;1;49;2352;112896;5419008
24338;1;0;2;3;1
24339;0;48;576;2880;9600
24342;6;12;38;2540;0
24344;9;10;11;12;13
24345;3;6;15;28;1
24346;1;3;2;7;5
24347;63;20;8;4;1
24349;1;2;4;3;0
24350;13;17;23;29;37
24351;0;2;2;10;30
24352;0;1;1;2;1
24354;1;2;2;4;6
24356;3;4;4;1;1
24357;0;1;6;21;84
24358;1;9;729;4782969;2,8243E+11
24359;4;6;7;8;10
24360;1;1;6;41;362
24365;39;55;56;68;87
24367;1;16;159;1260;8722
24368;1;1;0;2;2
24369;10011101;1021;10321;102043;1015423
24374;1;2;9;28;93
24375;0;1;8;54;384
24376;26;1;2;6;2
24377;1;3;11;54;259
24378;1024;25937424601;1,024E+13;4,20707E+14;6,27821E+15
24381;1;3;51;1599;74545
24382;32;1024;16100;204304;2895584
24383;1304424;297562572;71683161894;1,72268E+13;4,16369E+15
24386;2;5;19;205;3011
24387;1;7;49;50;51
24388;1;0;1;1;1
24390;0;1;1;2;0
24393;1;3922632451;1,38483E+19;4,83525E+28;1,6862E+38
24395;2;3;5;7;11
24396;724154;5117114;26968208;146747822;839477288
24398;0;1;3;3;7
24405;0;0;1;0;1
24406;-1;1;1;1;1
24411;0;1;3;2;7
24414;61;97;233;298;317
24415;1;11;31;4113;612314
24416;1;1;-1020;-59041;-1048560
24417;1;0;3;9;2
24420;0;4;120;33600;18446400
24424;84;1030;106421;13042996;1202223210
24427;2;12;114;1512;25826
24428;1;1;3;7;23
24431;0;2;4;8;15
24433;3;6;6;6;6
24434;0;0;4;38;305
24435;3;5;11;53;101
24436;1;7;37;193;1021
24437;1;30;870;25230;731670
24439;4;46;1139;55516;5327304
24440;2;7;13;3;19
24442;1;1;2;1;2
24445;1;9;55;287;1381
24448;1;1;1;1;4
24451;1;3;39;840;27300
24452;1;5;3;5;1
24453;18;36487;168357815;7,32384E+11;2,57182E+15
24455;1;9;55;286;1362
24458;0;0;13026;3529190912;0
24459;1;70;406;1168;2948
24461;1;2;6;3;15
24462;1;19;734;16294;557407
24464;1;2;3;4;6
24466;1;1;4;111;12600
24467;1;3;10;35;136
24468;2;2;24;68;376
24473;0;1;2;1;2
24476;1;0;1;2;3
24479;7;11;13;19;23
24481;6;0;8;9;8
24482;1;1;2;3;3
24486;1;12;196;368;1696
24487;0;17695;17697;17699;17701
24488;34;149;401;912;1936
24490;1;2;3;4;7
24491;506240;789750;1325312;1567350;1761750
24495;2;1;4;3;3
24497;1;28;378;3276;20475
24498;1;5;55;485;4380
24500;1;2;3;4;5
24502;1;6;41;306;2401
24503;61;3721;196916;10346480;542989615
24504;2;66;86;90;102
24507;0;0;0;0;0
24508;4;-4;8;-32;-32
24509;0;1;1;2;1
24510;0;25;75;150;250
24512;3;10;104;105;175
24517;1;0;1;1;0
24518;24;3599;444555;95995609;12483535858
24520;1;1;2;4;11
24521;1;0;0;0;0
24522;2;5;7;12;18
24523;1;2;32;4;512
24524;1;3;7;15;31
24525;1;2;2;2;2
24526;2;3;3;7;10
24527;1;3;7;9;11
24528;17;53;157;173;193
24534;1;-2;1;-2;4
24537;1;9;94;1552;27285
24538;1;0;132;192;828
24541;1;0;-4;-16;-64
24542;26;676;756;2124;4992
24545;1;5;11;13;9
24547;1;15;953;12435;88273
24548;28;57;85;142;511
24549;4;32;228;1655;11978
24550;2117;4909;26293;26618;44602
24551;1;1;1;1;-1
24552;3;7;11;13;21
24554;1;1;0;-2;1
24555;1;0;16;0;560
24556;2;-16;80;14464;-1924352
24557;1;13;36;60;84
24559;0;2;5;1;6
24562;1;1;1;1;-1
24563;1;2;0;1;1
24565;0;1;1;2;1
24566;8;343;54769;34412915;85151401909
24567;1;6;4;9;7
24568;1;0;0;48;30
24569;3;6;9;13;38
24570;1;2;3;4;5
24571;0;45;14535;4680270;1507032450
24572;0;0;1;0;0
24576;1;1;1;2;3
24578;1;3;12;72;720
24582;2;4;0;2;2
24583;24;36;65;80;89
24584;291;564;742;2639;4319
24585;1;2;4;6;7
24586;3;53;353;3533;33353
24588;1;2;3;6;10
24590;1;2;2;3;12
24591;1;3;13;97;997
24592;1;2;5;1;16
24593;1;2;8;44;436
24594;1;5;36;41;77
24596;1;20;300;4000;50000
24598;1;0;12;-360;26768
24599;18;30;67;79;102
24600;1;2;5;12;29
24603;0;1;5;6;9
24604;2;5;14;20;39
24605;1;1;1;2;2
24606;1;11;1101;1101001;11010011
24618;1;1;-1;1;-1
24621;1;60;3600;216000;12960000
24623;23126821;335139421;427990531;709267021;738459541
24624;30;61;91;243;334
24625;1;1;8;36;148
24627;3;33;30;36;32
24629;2;1;3;3;1
24632;2731;5462;10923;10924;13655
24633;1;1;2;3;8
24634;2;1;1;1;3
24639;1;4;18;84;400
24643;0;2;8;24;64
24644;2;3;31;23;0
24646;3;9;22;46;91
24647;0;15;5;10;1
24652;1;1;2;3;50
24656;1;1;2;2;3
24657;38;90;476;708;1826
24659;1;2;3;8;5
24662;75;5625;327518;18584111;1033847229
24664;1;8;73;5977;39556153
24665;1;2;3;3;7
24666;2;3;4;8;16
24670;2;409;439;3631;4441
24671;8;10;22;34;106
24672;1;8;7;9;8
24674;0;2;4;18;56
24675;0;1;2;3;4
24677;0;1;3;2;8
24679;648;712;776;840;904
24680;3;2;1;7;4
24681;12;1;1;1;5
24683;1282427;1282427129;1,28243E+17;1,28243E+63;0
24684;5;13;17;33;33
24686;0;1;2;3;5
24687;0;1;1;1;1
24688;16;199;2866;41222;523701
24689;1;0;0;4;2
24690;1;2;6;22;91
24693;1;1;3;9;33
24694;1;21;3;45;55
24697;29;76;2289;3796;6369
24698;1;2;2;3;0
24700;1;4;8;16;27
24704;1;1;9;81;6561
24706;1;3;2;7;6
24707;9;8;7;6;5
24708;55;112;79;28;107
24709;1;1;0;0;1
24710;11;2;22;2;22
24711;1;65;697;8819;103153
24712;1;26;650;16250;406250
24721;0;2;3;5;7
24723;3,04184E+14;3,79182E+19;4,60675E+24;5,61805E+29;6,84842E+34
24724;1;1;1;2;2
24726;1;176;5490;65600;455875
24727;5;10;13;14;15
24728;1;2;2;3;3
24732;1;16;25;27;32
24734;1;-3;6;12;-317
24735;1;5;37;357;3941
24736;40;121;202;283;368
24737;0;1;1;1;1
24738;0;600;96000;9960000;999600000
24739;1;-1;1;0;-1
24740;4;25;170;1200;8600
24744;81;1944;11361;45453;164514
24747;1;2;4;10;34
24748;0;1;1;2;2
24750;1;3;10;40;203
24751;0;1;25;253;2065
24755;2;127;11273;1112731;411127319
24757;7;13;19;43;103
24758;1;0;0;0;12
24760;1;153;755;2107;4509
24761;1;1;1;1;1
24762;1;9;75;1225;19845
24763;0;1;2;2;3
24764;1;1;2;3;12
24765;2;4;14;59;299
24767;5;7;13;9;19
24769;1;2;6;18;63
24770;1107;30775;511253;10355969;195165583
24773;2;3;18;21;138
24776;0;1;2;3;4
24777;1;2;8;62;696
24778;0;0;0;0;0
24780;2;17;102;112;316
24783;66;68;133;135;202
